version,distribution,run,seed,collected_resources
Baseline CPFA,random,1,421714,177.0
Baseline CPFA,random,2,429885,177.0
Baseline CPFA,random,3,861071,179.0
Baseline CPFA,random,4,817324,182.0
Baseline CPFA,random,5,880691,179.0
Baseline CPFA,random,6,646385,188.0
Baseline CPFA,random,7,894956,185.0
Baseline CPFA,random,8,537513,171.0
Baseline CPFA,random,9,541037,184.0
Baseline CPFA,random,10,116428,186.0
Baseline CPFA,random,11,965214,185.0
Baseline CPFA,random,12,601471,172.0
Baseline CPFA,random,13,862769,188.0
Baseline CPFA,random,14,397000,186.0
Baseline CPFA,random,15,44284,184.0
Baseline CPFA,random,16,819507,191.0
Baseline CPFA,random,17,992840,173.0
Baseline CPFA,random,18,290618,178.0
Baseline CPFA,random,19,40067,170.0
Baseline CPFA,random,20,774381,184.0
Baseline CPFA,random,21,995558,186.0
Baseline CPFA,random,22,385635,179.0
Baseline CPFA,random,23,944280,184.0
Baseline CPFA,random,24,845619,180.0
Baseline CPFA,random,25,163282,182.0
Baseline CPFA,random,26,525465,183.0
Baseline CPFA,random,27,228127,189.0
Baseline CPFA,random,28,722666,183.0
Baseline CPFA,random,29,770767,180.0
Baseline CPFA,random,30,694597,178.0
Baseline CPFA,random,31,49475,181.0
Baseline CPFA,random,32,776938,177.0
Baseline CPFA,random,33,673491,188.0
Baseline CPFA,random,34,441131,187.0
Baseline CPFA,random,35,964153,182.0
Baseline CPFA,random,36,389778,178.0
Baseline CPFA,random,37,63389,191.0
Baseline CPFA,random,38,381628,186.0
Baseline CPFA,random,39,532411,182.0
Baseline CPFA,random,40,702628,180.0
Baseline CPFA,random,41,294238,185.0
Baseline CPFA,random,42,800101,180.0
Baseline CPFA,random,43,969090,173.0
Baseline CPFA,random,44,997796,191.0
Baseline CPFA,random,45,740266,179.0
Baseline CPFA,random,46,939783,174.0
Baseline CPFA,random,47,500255,174.0
Baseline CPFA,random,48,920833,181.0
Baseline CPFA,random,49,969841,173.0
Baseline CPFA,random,50,471202,180.0
Baseline CPFA,clustered,1,919166,83.0
Baseline CPFA,clustered,2,390479,80.0
Baseline CPFA,clustered,3,534773,54.0
Baseline CPFA,clustered,4,11957,44.0
Baseline CPFA,clustered,5,179159,80.0
Baseline CPFA,clustered,6,203611,45.0
Baseline CPFA,clustered,7,17923,51.0
Baseline CPFA,clustered,8,271669,59.0
Baseline CPFA,clustered,9,424075,81.0
Baseline CPFA,clustered,10,116282,76.0
Baseline CPFA,clustered,11,378809,91.0
Baseline CPFA,clustered,12,476239,90.0
Baseline CPFA,clustered,13,710776,69.0
Baseline CPFA,clustered,14,485547,75.0
Baseline CPFA,clustered,15,33667,78.0
Baseline CPFA,clustered,16,983682,49.0
Baseline CPFA,clustered,17,179513,72.0
Baseline CPFA,clustered,18,219097,48.0
Baseline CPFA,clustered,19,641288,92.0
Baseline CPFA,clustered,20,607911,83.0
Baseline CPFA,clustered,21,823441,83.0
Baseline CPFA,clustered,22,936200,46.0
Baseline CPFA,clustered,23,275078,86.0
Baseline CPFA,clustered,24,163967,40.0
Baseline CPFA,clustered,25,813652,81.0
Baseline CPFA,clustered,26,942646,62.0
Baseline CPFA,clustered,27,195187,87.0
Baseline CPFA,clustered,28,296640,95.0
Baseline CPFA,clustered,29,727133,45.0
Baseline CPFA,clustered,30,596963,57.0
Baseline CPFA,clustered,31,470315,65.0
Baseline CPFA,clustered,32,564471,63.0
Baseline CPFA,clustered,33,143814,77.0
Baseline CPFA,clustered,34,722412,70.0
Baseline CPFA,clustered,35,418571,39.0
Baseline CPFA,clustered,36,61639,68.0
Baseline CPFA,clustered,37,86936,90.0
Baseline CPFA,clustered,38,948265,77.0
Baseline CPFA,clustered,39,959191,79.0
Baseline CPFA,clustered,40,861685,42.0
Baseline CPFA,clustered,41,502909,80.0
Baseline CPFA,clustered,42,745608,46.0
Baseline CPFA,clustered,43,825116,44.0
Baseline CPFA,clustered,44,822199,61.0
Baseline CPFA,clustered,45,235967,61.0
Baseline CPFA,clustered,46,281826,71.0
Baseline CPFA,clustered,47,737410,80.0
Baseline CPFA,clustered,48,516395,67.0
Baseline CPFA,clustered,49,698399,83.0
Baseline CPFA,clustered,50,303333,53.0
Baseline CPFA,powerlaw,1,381670,137.0
Baseline CPFA,powerlaw,2,720791,147.0
Baseline CPFA,powerlaw,3,805457,142.0
Baseline CPFA,powerlaw,4,723508,61.0
Baseline CPFA,powerlaw,5,472658,152.0
Baseline CPFA,powerlaw,6,519255,139.0
Baseline CPFA,powerlaw,7,48630,143.0
Baseline CPFA,powerlaw,8,897474,152.0
Baseline CPFA,powerlaw,9,500100,155.0
Baseline CPFA,powerlaw,10,290860,140.0
Baseline CPFA,powerlaw,11,95891,146.0
Baseline CPFA,powerlaw,12,819432,151.0
Baseline CPFA,powerlaw,13,571112,146.0
Baseline CPFA,powerlaw,14,460430,137.0
Baseline CPFA,powerlaw,15,644532,140.0
Baseline CPFA,powerlaw,16,992631,149.0
Baseline CPFA,powerlaw,17,963396,139.0
